State,Latitude,Longitude,Standard,Postal
Alabama,32.31823,-86.902298,Ala.,AL
Alaska,66.160507,-153.369141,Alaska,AK
Arizona,34.048927,-111.093735,Ariz.,AZ
Arkansas,34.799999,-92.199997,Ark.,AR
California,36.778259,-119.417931,Calif.,CA
Colorado,39.113014,-105.358887,Colo.,CO
Connecticut,41.599998,-72.699997,Conn.,CT
Delaware,39.0,-75.5,Del.,DE
District of Columbia,38.9072,77.0369,D.C.,DC
Florida,27.994402,-81.760254,Fla.,FL
Georgia,33.247875,-83.441162,Ga.,GA
Hawaii,19.741755,-155.844437,Hawaii,HI
Idaho,44.068203,-114.742043,Idaho,ID
Illinois,40.0,-89.0,Ill.,IL
Indiana,40.273502,-86.126976,Ind.,IN
Iowa,42.032974,-93.581543,Iowa,IA
Kansas,38.5,-98.0,Kan.,KS
Kentucky,37.839333,-84.27002,Ky.,KY
Louisiana,30.39183,-92.329102,La.,LA
Maine,45.367584,-68.972168,Maine,ME
Maryland,39.045753,-76.641273,Md.,MD
Massachusetts,42.407211,-71.382439,Mass.,MA
Michigan,44.182205,-84.506836,Mich.,MI
Minnesota,46.39241,-94.63623,Minn.,MN
Mississippi,33.0,-90.0,Miss.,MS
Missouri,38.573936,-92.60376,Mo.,MO
Montana,46.96526,-109.533691,Mont.,MT
Nebraska,41.5,-100.0,Neb.,NE
Nevada,39.876019,-117.224121,Nev.,NV
New Hampshire,44.0,-71.5,N.H.,NH
New Jersey,39.833851,-74.871826,N.J.,NJ
New Mexico,34.307144,-106.018066,N.M.,NM
New York,43.0,-75.0,N.Y.,NY
North Carolina,35.782169,-80.793457,N.C.,NC
North Dakota,47.650589,-100.437012,N.D.,ND
Ohio,40.367474,-82.996216,Ohio,OH
Oklahoma,36.084621,-96.921387,Okla.,OK
Oregon,44.0,-120.5,Ore.,OR
Pennsylvania,41.203323,-77.194527,Pa.,PA
Rhode Island,41.742325,-71.742332,R.I.,RI
South Carolina,33.836082,-81.163727,S.C.,SC
South Dakota,44.5,-100.0,S.D.,SD
Tennessee,35.860119,-86.660156,Tenn.,TN
Texas,31.0,-100.0,Texas,TX
Utah,39.41922,-111.950684,Utah,UT
Vermont,44.0,-72.699997,Vt.,VT
Virginia,37.926868,-78.024902,Va.,VA
Washington,47.751076,-120.740135,Wash.,WA
West Virginia,39.0,-80.5,W.Va.,WV
Wisconsin,44.5,-89.5,Wis.,WI
Wyoming,43.07597,-107.290283,Wyo.,WY
